Chinois,Pinyin,Anglais,Books,Chapter
你,nǐ,you,1-1,1
來,lái,to come,1-1,1
是,shì,to be,1-1,1
小姐,xiǎojiě,Miss OR Ms.,1-1,1
嗎,ma,sentence final particle,1-1,1
接,jiē,to pick sb up,1-1,1
我們,wǒmen,we OR us,1-1,1
我,wǒ,I OR me,1-1,1
這,zhè / zhèi,this,1-1,1
先生,xiānshēng,Mr.,1-1,1
好,hǎo,fine OR well,1-1,1
姓,xìng,to be surnamed,1-1,1
叫,jiào,to be called,1-1,1
你們,nǐmen,you (plural),1-1,1
好的,hǎode,OK,1-1,1
外帶,wàidài,take out OR to go,1-1,1
內用,nèiyòng,for here,1-1,1
伯母,bómǔ,aunt OR polite term ,1-1,2
您,nín,you (honorific),1-1,2
名字,míngzi,name,1-1,2
書,shū,book,1-1,2
哥哥,gēge,older brother,1-1,2
老師,lǎoshī,teacher,1-1,2
看書,kànshū,to read,1-1,2
幾,jǐ,how many,1-1,2
個,ge,general measure word,1-1,2
沒,méi,not,1-1,2
兄弟,xiōngdì,brothers,1-1,2
姐妹,jiěmèi,sisters,1-1,2
兩,liǎng,two,1-1,2
一共,yígòng,altogether,1-1,4
多少,duōshǎo,how much OR how many,1-1,4
錢,qián,money,1-1,4
老闆,lǎobǎn,store-owner OR boss,1-1,4
買,mǎi,to buy,1-1,4
杯,bēi,cup,1-1,4
熱,rè,hot,1-1,4
包子,bāozi,steamed buns,1-1,4
要,yào,to want OR to need,1-1,4
大,dà,large,1-1,4
中,zhōng,medium,1-1,4
小,xiǎo,small,1-1,4
幫,bāng,for,1-1,4
微波,wéibō,to microwave,1-1,4
百,bǎi,hundred,1-1,4
塊,kuài,measure word for Chinese money,1-1,4
昨天,zuótiān,yesterday,1-1,5
餐廳,cāntīng,restaurant,1-1,5
可是,kěshì,but OR however,1-1,5
辣,là,hot (spicy),1-1,5
怕,pà,(here) to not like OR to fear,1-1,5
所以,suǒyǐ,therefore OR so,1-1,5
自己,zìjǐ,self,1-1,5
做飯,zuòfàn,to cook,1-1,5
得,de,complement marker,1-1,5
會,huì,to be able to OR can,1-1,5
甜點,tiándiǎn,dessert,1-1,5
不錯,búcuò,not bad,1-1,5
可以,kěyǐ,could (possibility),1-1,5
教,jiāo,to teach,1-1,5
到,dào,to,1-1,5
一,yī,one,1-1,2
二,èr,two,1-1,2
三,sān,three,1-1,2
四,sì,four,1-1,2
五,wǔ,five,1-1,2
六,liù,six,1-1,2
七,qī,seven,1-1,2
八,bā,eight,1-1,2
九,jiǔ,nine,1-1,2
十,shí,ten,1-1,2
有一點,yǒu yìdiǎn,a little,1-1,5
不好,bù hǎo,not well,1-1,5
支,zhī,measure word for cell phones,1-1,4
新,xīn,new,1-1,4
手機,shǒujī,cell phone,1-1,4
太,tài,too,1-1,4
舊,jiù,old,1-1,4
了,le,sentence-final particle,1-1,4
週末,zhōumò,weekend,1-1,3
聽,tīng,to listen,1-1,3
音樂,yīnyuè,music,1-1,3
運動,yùndòng,to exercise,1-1,3
打,dǎ,to play (ball games),1-1,3
網球,wǎngqiú,tennis,1-1,3
棒球,bàngqiú,baseball,1-1,3
和,hàn,and OR as well as,1-1,3
游泳,yóuyǒng,to swim,1-1,3
常,cháng,often,1-1,3
籃球,lánqiú,basketball,1-1,3
也,yě,also,1-1,3
踢,tī,to kick,1-1,3
足球,zúqiú,soccer,1-1,3
覺得,juéde,to feel OR to think,1-1,3
好玩,hǎowán,interesting OR fun,1-1,3
明天,míngtiān,tomorrow,1-1,3
早上,zǎoshàng,morning,1-1,3
去,qù,to go,1-1,3
怎麼樣,zěnmeyàng,How about it?,1-1,3
啊,a,sentence-final particle,1-1,3
做什麼,zuò shénme,do what,1-1,3
好啊,hǎo a,OK,1-1,4
晚飯,wǎnfàn,dinner,1-1,4
菜,cài,cuisine,1-1,4
越南,Yuènán,Vietnam,1-1,3
好不好,hǎo bù hǎo,How about...? / How does that sound?,1-1,3
今天,jīntiān,today,1-1,3
晚上,wǎnshàng,evening OR night,1-1,3
看,kàn,to see OR to watch,1-1,3
電影,diànyǐng,movie,1-1,3
妳,nǐ,you (female),1-1,3
想,xiǎng,to want OR to think,1-1,3
還是,háishì,or (used in a question),1-1,3
吧,ba,sentence-final particle for suggestion,1-1,3
學,xué,to learn OR to study,1-1,3
中文,Zhōngwén,Chinese language,1-1,3
一起,yìqǐ,together,1-1,3
吃,chī,to eat,1-1,3
歡迎,huānyíng,welcome,1-1,1
請問,qǐngwèn,May I ask you,1-1,1
是的,shìde,yes,1-1,1
謝謝,xièxie,Thank you.,1-1,1
不客氣,búkèqì,You're welcome.,1-1,1
你好,nǐ hǎo,How are you? OR Hello.,1-1,1
牛肉,niúròu,beef,1-1,5
麵,miàn,noodles,1-1,5
真,zhēn,really,1-1,5
好吃,hǎochī,delicious,1-1,5
